0, 0, 2904, 968, -1, -1, -1, -1
1, 0.081056, 505, 968, -1, -1, -1, -1
2, 0.223332, 1635, 8351, -1, -1, -1, -1
3, 3.40597, 5684, 29486, 5.8043e+06, 834.721, 0, -1
7, 2.33395, 1923, 9913, 373.351, 7.09299, -1, -1
6, 0.342007, 9854, 50939, 373.351, 5.05414, -1, -1
7, 1.8065, 3862, 19001, 373.351, 5.05076, -1, -1
8, 0.56747, 3862, 18682, 283.059, 4.47883, -1, -1
9, 0.292196, 3862, 18682, 233.837, 4.1981, -1, -1
6, 0.166436, 7687, 36643, 233.837, 4.21767, -1, -1
7, 1.13768, 3995, 19338, 233.837, 4.09506, -1, -1
8, 0.477092, 3995, 19324, 233.837, 4.05256, -1, -1
9, 0.26742, 3995, 19324, 233.837, 3.99384, -1, -1
6, 0.301251, 10938, 54259, 233.837, 4.39594, -1, -1
7, 1.96396, 5678, 28781, 97.6053, 4.02882, -1, -1
8, -1.63843, 5678, 28724, 97.6053, 3.95677, -1, -1
9, 0.434443, 5678, 28724, 97.6053, 3.8294, -1, -1
6, 0.225521, 9541, 46610, 97.6053, 4.00367, -1, -1
7, 1.47209, 5724, 29034, 97.6053, 3.84143, -1, -1
8, 0.779287, 5724, 29007, 97.6053, 3.82221, -1, -1
9, 0.401255, 5724, 29007, 97.6053, 3.76125, -1, -1
6, 0.277605, 11884, 59491, 97.8035, 4.36162, -1, -1
7, 2.09875, 7100, 36882, 97.6053, 3.87846, -1, -1
8, 1.07391, 7100, 36822, 97.6053, 3.83451, -1, -1
9, 0.574952, 7100, 36822, 97.6053, 3.73171, -1, -1
6, 0.207238, 10601, 52662, 97.6053, 3.91438, -1, -1
7, 1.49544, 7087, 36813, 72.6213, 3.7028, -1, -1
8, 0.973193, 7087, 36783, 72.6213, 3.69088, -1, -1
9, 0.531285, 7087, 36783, 71.4266, 3.65033, -1, -1
6, 0.181786, 10256, 50936, 71.4266, 3.82622, -1, -1
7, 1.39915, 7125, 37037, 71.4266, 3.66483, -1, -1
8, 1.04058, 7125, 37029, 71.4266, 3.65989, -1, -1
9, 0.554328, 7125, 37029, 71.4266, 3.63762, -1, -1
6, 0.290998, 12496, 63106, 103.726, 4.09812, -1, -1
7, 2.27543, 8252, 43319, 71.4801, 3.75916, -1, -1
8, 1.22494, 8252, 43295, 71.4801, 3.73511, -1, -1
9, 0.612258, 8252, 43295, 76.9854, 3.6699, -1, -1
6, 0.195582, 11612, 58384, 76.9854, 3.84373, -1, -1
7, 1.96078, 8195, 43052, 76.9854, 3.67985, -1, -1
8, 1.19505, 8195, 43053, 76.9854, 3.67229, -1, -1
9, 0.574136, 8195, 43053, 73.8572, 3.64327, -1, -1
6, 0.20596, 11310, 56824, 73.8572, 3.80592, -1, -1
7, 1.78671, 8233, 43232, 73.8572, 3.65485, -1, -1
8, 1.34582, 8233, 43228, 73.8572, 3.6505, -1, -1
9, 0.708528, 8233, 43228, 74.4654, 3.63508, -1, -1
6, 0.225672, 11576, 58477, 104.058, 3.97669, -1, -1
7, 2.65289, 8578, 45110, 74.4654, 3.68839, -1, -1
8, 1.39338, 8578, 45105, 74.4654, 3.67861, -1, -1
9, 0.792022, 8578, 45105, 72.375, 3.64365, -1, -1
6, 0.199974, 11244, 56684, 72.375, 3.7834, -1, -1
7, 0.155143, 8552, 44948, 72.375, 3.64602, -1, -1
8, 1.16733, 8552, 44936, 72.375, 3.64107, -1, -1
9, 0.540049, 8552, 44936, 69.4415, 3.62436, -1, -1
6, 0.177277, 11136, 56119, 69.4415, 3.75978, -1, -1
7, 1.96845, 8543, 44915, 69.4415, 3.63264, -1, -1
8, 1.28542, 8543, 44915, 69.4415, 3.62909, -1, -1
9, 0.631184, 8543, 44915, 64.4329, 3.61968, -1, -1
6, 0.179863, 11082, 55821, 64.4329, 3.75147, -1, -1
7, 1.99227, 8572, 45060, 64.4329, 3.6291, -1, -1
8, 1.2154, 8572, 45057, 64.4329, 3.6262, -1, -1
9, 0.541553, 8572, 45057, 62.5515, 3.61828, -1, -1
6, 0.164781, 11064, 55714, 62.5515, 3.7473, -1, -1
7, 2.40108, 8594, 45162, 62.5515, 3.62991, -1, -1
8, 1.27703, 8594, 45159, 62.5515, 3.62691, -1, -1
9, 0.620843, 8594, 45159, 61.6706, 3.61775, -1, -1
6, 0.204223, 11040, 55558, 61.6706, 3.74013, -1, -1
7, 2.04801, 8595, 45188, 61.6706, 3.62565, -1, -1
8, 1.16768, 8595, 45192, 61.6706, 3.623, -1, -1
9, 0.542975, 8595, 45192, 61.6706, 3.61613, -1, -1
6, 0.17902, 11287, 56969, 87.9564, 3.85071, -1, -1
7, 2.25526, 8765, 46135, 70.1231, 3.6496, -1, -1
8, 1.23727, 8765, 46119, 70.1231, 3.64287, -1, -1
9, 0.557502, 8765, 46119, 54.0947, 3.6227, -1, -1
6, 0.17462, 11144, 56150, 62.7582, 3.75166, -1, -1
7, 1.91625, 8788, 46228, 33.4591, 3.63255, -1, -1
8, 1.38614, 8788, 46222, 33.4591, 3.62885, -1, -1
9, 0.572279, 8788, 46222, 30.6671, 3.61891, -1, -1
6, 0.178441, 11147, 56157, 36.7361, 3.74367, -1, -1
7, 1.85202, 8803, 46306, 30.6671, 3.62767, -1, -1
8, 1.24885, 8803, 46300, 30.6671, 3.62472, -1, -1
9, -1.81976, 8803, 46300, 30.3248, 3.61781, -1, -1
6, 0.164628, 11043, 55686, 35.7237, 3.73966, -1, -1
7, 2.67471, 8796, 46257, 26.1713, 3.62036, -1, -1
8, 1.49056, 8796, 46258, 26.1713, 3.6175, -1, -1
9, 0.579061, 8796, 46258, 26.0081, 3.60898, -1, -1
6, 0.175704, 11006, 55449, 26.0081, 3.71167, -1, -1
7, 2.03394, 8798, 46284, 26.0081, 3.61315, -1, -1
8, 1.11557, 8798, 46280, 26.0081, 3.61061, -1, -1
9, 0.551049, 8798, 46280, 22.9674, 3.60605, -1, -1
6, 0.163385, 10970, 55239, 22.9674, 3.7054, -1, -1
7, 1.891, 8812, 46355, 7.94068, 3.60958, -1, -1
8, 1.26041, 8812, 46352, 7.94068, 3.60785, -1, -1
9, 0.581557, 8812, 46352, 7.94068, 3.60398, -1, -1
7, 1.4995, 8782, 46218, 7.94068, 3.60307, -1, -1
4, 81.8252, 8782, 46218, 7.94068, 3.60307, -1, -1
5, 0.964849, 4179, 17979, 7.79974, 3.69402, -1, -1
-1, 86.5004, 4179, 17979, 7.79974, 3.69402, 0, 40
